category,agency,description,locationType,address,borough,lat,lng,frequency
human,New York City Police Department,Loud Music/Party,Store/Commercial,320 MYRTLE AVENUE,BROOKLYN,40.69327693891573,-73.97381258595374,16
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,BRONX,40.849440392775094,-73.91840865225434,6
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,1302 COLLEGE AVENUE,BRONX,40.83573106258371,-73.9116242722315,20
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,14 ORCHARD STREET,MANHATTAN,40.715221270038704,-73.99171408791376,92
human,New York City Police Department,Loud Talking,Street/Sidewalk,224 SOUTH 3 STREET,BROOKLYN,40.71113547081354,-73.958774972642,4
human,New York City Police Department,Loud Music/Party,Street/Sidewalk, EAST 181 STREET,BRONX,40.84919872394089,-73.88870101605434,4
human,New York City Police Department,Loud Talking,Park/Playground,,MANHATTAN,40.82057144966086,-73.94640134476684,9
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,,BROOKLYN,40.683581665879245,-73.95395333919188,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,,MANHATTAN,40.86361231333285,-73.92820687504232,10
human,New York City Police Department,Loud Talking,Street/Sidewalk,,BRONX,40.87222654538993,-73.82447482645111,4
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,138 LUDLOW STREET,MANHATTAN,40.72042228058381,-73.98817082018844,17
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,274 SOUTH 2 STREET,BROOKLYN,40.71136534518467,-73.95690276251469,5
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant, 1 AVENUE,MANHATTAN,40.723586990296035,-73.98820272801426,9
human,New York City Police Department,Loud Talking,Street/Sidewalk,1806 1 AVENUE,MANHATTAN,40.781683899884754,-73.9458476858331,4
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,2361 ADAM CLAYTON POWELL BOULEVARD,MANHATTAN,40.81726755137458,-73.94225650251605,40
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,661 CRESCENT AVENUE,BRONX,40.85418860547359,-73.88589841383693,10
human,3-1-1 Call Center,People Created Noise,Home,1254 WHEELER AVENUE,BRONX,40.82987040687676,-73.88041508347055,28
human,New York City Police Department,Loud Music/Party,Park/Playground,,BROOKLYN,40.694118411103275,-73.96015943163475,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,647 WEST 172 STREET,MANHATTAN,40.84424404365834,-73.93971755210634,4
human,3-1-1 Call Center,People Created Noise,Home,75 WEST 190 STREET,BRONX,40.865048416159624,-73.90282157022888,3
human,New York City Police Department,Loud Talking,Club/Bar/Restaurant,1913 CONEY ISLAND AVENUE,BROOKLYN,40.6108397722167,-73.9625285854692,4
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,120 VERMILYEA AVENUE,MANHATTAN,40.866456912730875,-73.9214573171432,6
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,310 SPRING STREET,MANHATTAN,40.72592306864067,-74.00851092970301,7
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,166 NORTH 7 STREET,BROOKLYN,40.717950406521275,-73.95792662022473,27
human,New York City Police Department,Loud Music/Party,Store/Commercial,,MANHATTAN,40.748437554305184,-73.98456038049486,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,342 EAST 87 STREET,MANHATTAN,40.77809574262729,-73.95018703326951,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,MANHATTAN,40.72918619246994,-73.9872492164216,3
human,New York City Police Department,Loud Music/Party,Park/Playground, BRADHURST AVENUE,MANHATTAN,40.8248619215369,-73.9417296085882,8
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,476 5 AVENUE,MANHATTAN,40.75272439127467,-73.9814517739956,6
human,New York City Police Department,Loud Talking,Park/Playground,,MANHATTAN,40.832240101564395,-73.94250007526574,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,274 SOUTH 2 STREET,BROOKLYN,40.71136534518467,-73.95690276251469,7
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,3474 BROADWAY,MANHATTAN,40.82432318905348,-73.95197347593165,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,167 AVENUE U,BROOKLYN,40.596455558934544,-73.97803835829421,65
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,BROOKLYN,40.654313004542374,-73.91757691422394,5
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,1671 BATH AVENUE,BROOKLYN,40.60549319224711,-74.00880529304777,7
human,New York City Police Department,Loud Music/Party,Park/Playground,,MANHATTAN,40.82916603686156,-73.93726322372115,5
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,104 AVENUE C,MANHATTAN,40.72403030910753,-73.97888382485749,7
human,New York City Police Department,Loud Talking,Park/Playground,,BROOKLYN,40.690546908109404,-73.95857855751498,3
human,3-1-1 Call Center,People Created Noise,Home,933 EAST 22 STREET,BROOKLYN,40.62930131057248,-73.95505716921578,11
human,New York City Police Department,Loud Talking,Club/Bar/Restaurant, BROADWAY,QUEENS,40.761412762234905,-73.92419105811896,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,274 EAST 23 STREET,BROOKLYN,40.643058369426974,-73.95553075535273,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,,MANHATTAN,40.79476085320567,-73.94234825621639,4
human,New York City Police Department,Loud Music/Party,Store/Commercial,1753 JEROME AVENUE,BRONX,40.84795916661509,-73.91217911323015,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,2270 ADAM CLAYTON POWELL BOULEVARD,MANHATTAN,40.814350972886835,-73.94441217208437,3
human,New York City Police Department,Loud Music/Party,Park/Playground,FORT HAMILTON PARKWAY,BROOKLYN,40.62940288468587,-74.01106730105076,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant, 1 AVENUE,MANHATTAN,40.769435252729714,-73.9548073628068,9
human,New York City Police Department,Loud Music/Party,Park/Playground,,BROOKLYN,40.72060064126233,-73.95475389558149,7
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,154 WEST 84 STREET,MANHATTAN,40.78580544901138,-73.97466091272929,4
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,49 SOUTH 2 STREET,BROOKLYN,40.71451936486379,-73.96595489046855,4
human,New York City Police Department,Loud Talking,Club/Bar/Restaurant,510 EAST 11 STREET,MANHATTAN,40.728221967714056,-73.98128180296732,3
human,3-1-1 Call Center,People Created Noise,Home,65-22 MYRTLE AVENUE,QUEENS,40.7012004804121,-73.88955760206612,4
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,1674 BROADWAY,MANHATTAN,40.7628609882071,-73.98310948480062,4
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,30 SEAMAN AVENUE,MANHATTAN,40.866899758390794,-73.92708613495817,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,454 WEST 146 STREET,MANHATTAN,40.82550085725062,-73.94617696560513,4
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,,MANHATTAN,40.73291420707018,-74.00397627322947,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk, PARKSIDE AVENUE,BROOKLYN,40.65597500313945,-73.95471843716676,12
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,403 WEST 48 STREET,MANHATTAN,40.76243912980498,-73.9903256478226,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,133 MACDONOUGH STREET,BROOKLYN,40.681303229075446,-73.94128899636222,11
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,3500 TRYON AVENUE,BRONX,40.88049255784894,-73.87669332048401,8
human,New York City Police Department,Loud Talking,Club/Bar/Restaurant,,BROOKLYN,40.63183843627483,-73.9446290467788,4
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant, 8 AVENUE,MANHATTAN,40.741958231754595,-74.00091661569704,3
human,New York City Police Department,Loud Music/Party,Store/Commercial,671 MANHATTAN AVENUE,BROOKLYN,40.724798750116484,-73.95138858082308,3
human,3-1-1 Call Center,People Created Noise,Home,823 FOX STREET,BRONX,40.81735905377218,-73.89648207635712,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,7 WEST 20 STREET,MANHATTAN,40.7399432789764,-73.99156306026505,11
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,,BRONX,40.857060146840034,-73.90468410712803,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,2 WEST 35 STREET,MANHATTAN,40.749288423791,-73.98454213769257,31
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,37-64 90 STREET,QUEENS,40.74924536842797,-73.87664752548358,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,322 RODNEY STREET,BROOKLYN,40.7089743545947,-73.95610356814139,5
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,201-10 CROSS ISLAND PARKWAY,QUEENS,40.78655569162361,-73.7930814605531,8
human,New York City Police Department,Loud Talking,Street/Sidewalk,2493 MARION AVENUE,BRONX,40.86098628090884,-73.89351479103807,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,33 GREENWICH AVENUE,MANHATTAN,40.7350853758031,-74.00023093446343,14
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,2518 AVENUE U,BROOKLYN,40.59993103375052,-73.94636240406794,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,115 EAST 11 STREET,MANHATTAN,40.731835136068966,-73.98980690563312,5
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,32-03 BROADWAY,QUEENS,40.76154468058854,-73.92445081254765,24
human,New York City Police Department,Loud Talking,Street/Sidewalk,250 WEST 22 STREET,MANHATTAN,40.74403049643568,-73.99757486256853,3
